question_id,document,n_claims,nli_supported,threshold_supported,agreement_rate
B12,BLIP-2,1,1,1,1.0
VIT-01,Vision Transformer,4,4,4,1.0
VIT-02,Vision Transformer,11,10,9,0.909
VIT-03,Vision Transformer,3,3,3,1.0
VIT-04,Vision Transformer,4,3,4,0.75
VIT-05,Vision Transformer,7,7,7,1.0
VIT-06,Vision Transformer,6,6,3,0.5
VIT-07,Vision Transformer,5,4,2,0.4
VIT-08,Vision Transformer,3,2,3,0.667
VIT-09,Vision Transformer,3,3,2,0.667
VIT-10,Vision Transformer,6,4,4,0.667
VIT-11,Vision Transformer,3,1,3,0.333
VIT-12,Vision Transformer,2,0,1,0.5
VIT-13,Vision Transformer,4,4,2,0.5
VIT-14,Vision Transformer,6,5,2,0.333
VIT-15,Vision Transformer,2,1,2,0.5
CLIP-01,CLIP,3,0,2,0.333
CLIP-02,CLIP,2,0,1,0.5
CLIP-03,CLIP,2,0,1,0.5
CLIP-04,CLIP,3,0,0,1.0
CLIP-05,CLIP,3,2,2,0.333
CLIP-06,CLIP,5,5,3,0.6
CLIP-07,CLIP,4,2,3,0.75
CLIP-08,CLIP,3,3,2,0.667
CLIP-09,CLIP,4,3,0,0.25
CLIP-10,CLIP,6,3,0,0.333
CLIP-11,CLIP,3,2,2,0.333
CLIP-12,CLIP,1,1,1,1.0
CLIP-13,CLIP,1,1,1,1.0
CLIP-14,CLIP,3,0,1,0.667
CLIP-15,CLIP,2,0,0,1.0
RAG-01,RAG,3,3,3,1.0
RAG-02,RAG,6,6,3,0.5
RAG-03,RAG,2,2,1,0.5
RAG-04,RAG,1,1,1,1.0
RAG-05,RAG,4,4,2,0.5
RAG-06,RAG,2,2,1,0.5
RAG-07,RAG,3,3,1,0.333
RAG-08,RAG,9,9,4,0.444
RAG-09,RAG,2,2,1,0.5
RAG-10,RAG,1,1,1,1.0
RAG-11,RAG,2,2,1,0.5
RAG-12,RAG,4,4,2,0.5
BERT-01,BERT,3,1,2,0.667
BERT-02,BERT,2,0,1,0.5
BERT-03,BERT,2,1,0,0.5
BERT-04,BERT,2,2,0,0.0
BERT-05,BERT,2,0,2,0.0
BERT-06,BERT,1,1,1,1.0
BERT-07,BERT,9,2,8,0.222
BERT-08,BERT,2,0,1,0.5
BERT-09,BERT,2,1,2,0.5
BERT-10,BERT,8,0,1,0.625
BERT-11,BERT,3,0,0,1.0
BERT-12,BERT,5,3,2,0.6
NLP-Q1,NLP,4,4,4,1.0
NLP-Q2,NLP,4,0,4,0.0
NLP-Q3,NLP,2,0,0,1.0
NLP-Q4,NLP,1,1,1,1.0
NLP-Q5,NLP,1,1,1,1.0
NLP-Q6,NLP,1,1,0,0.0
NLP-Q7,NLP,3,0,0,0.333
NLP-Q8,NLP,4,1,1,1.0
NLP-Q9,NLP,1,1,1,1.0
NLP-Q10,NLP,4,0,0,0.75
NLP-Q11,NLP,4,2,0,0.5
NLP-Q12,NLP,4,2,1,0.25
CNN-Q1,CNN,7,5,7,0.714
CNN-Q2,CNN,9,7,7,0.778
CNN-Q3,CNN,2,1,0,0.5
CNN-Q4,CNN,1,1,1,1.0
CNN-Q5,CNN,3,3,3,1.0
CNN-Q6,CNN,2,1,1,1.0
CNN-Q7,CNN,1,0,0,1.0
CNN-Q8,CNN,4,3,4,0.75
CNN-Q9,CNN,2,2,0,0.0
CNN-Q10,CNN,2,2,1,0.5
CNN-Q11,CNN,9,7,8,0.667
CNN-Q12,CNN,3,0,1,0.667
