question_id,document,claim_id,claim_text,nli_status,nli_label,nli_confidence,nli_citation,threshold_status,threshold_confidence,threshold_citation,agree
SR-07,SELF-RAG,1,"The critic model in SELF-RAG plays a role in constructing the training data for the generator by predicting the next tokens from the original vocabulary as well as newly added special tokens, called reflection tokens.",SUPPORTED,ENTAILMENT,0.624,Self-RAG.pdf (Page 2),SUPPORTED,0.821,Self-RAG.pdf (Page 10),True
SR-07,SELF-RAG,2,These reflection tokens are used to critique the text passages and the generator's own generation.,SUPPORTED,ENTAILMENT,0.7773,Self-RAG.pdf (Page 1),SUPPORTED,0.933,Self-RAG.pdf (Page 4),True
SR-07,SELF-RAG,3,"The critic model helps the generator to learn to retrieve, generate, and critique text passages, thereby enhancing the quality and factuality of the LLMs.",SUPPORTED,ENTAILMENT,0.8237,Self-RAG.pdf (Page 1),SUPPORTED,0.789,Self-RAG.pdf (Page 2),True
SR-08,SELF-RAG,1,The SELF-RAG generator learns to produce both normal text and reflection tokens through a training process that involves two models: the critic model (C) and the generator model (M).,SUPPORTED,ENTAILMENT,0.6973,Self-RAG.pdf (Page 2),PARTIALLY_SUPPORTED,0.72,Self-RAG.pdf (Page 4),False
SR-08,SELF-RAG,2,Training the Critic Model (C): The critic model is trained on a curated corpus with interleaving passages retrieved by a retriever and reflection tokens predicted by the critic model itself.,SUPPORTED,ENTAILMENT,0.6821,Self-RAG.pdf (Page 2),SUPPORTED,0.955,Self-RAG.pdf (Page 4),True
SR-08,SELF-RAG,3,The critic model's goal is to evaluate the utility of retrieved passages and the quality of a given task output.,SUPPORTED,ENTAILMENT,0.7705,Self-RAG.pdf (Page 2),SUPPORTED,0.944,Self-RAG.pdf (Page 4),True
SR-08,SELF-RAG,4,"Training the Generator Model (M): The generator model M is trained on the same curated corpus as the critic model, but it learns to predict the target output as well as the reflection tokens.",SUPPORTED,ENTAILMENT,0.6577,Self-RAG.pdf (Page 4),PARTIALLY_SUPPORTED,0.696,Self-RAG.pdf (Page 4),False
SR-08,SELF-RAG,5,"During training, the retrieved text chunks are masked out for loss calculation, and the original vocabulary is expanded with a set of reflection tokens {Critique, Retrieve}.",SUPPORTED,ENTAILMENT,0.981,Self-RAG.pdf (Page 5),SUPPORTED,0.84,Self-RAG.pdf (Page 5),True
SR-08,SELF-RAG,6,The generator model learns to generate reflection tokens by itself without relying on the critic at inference time.,SUPPORTED,ENTAILMENT,0.7983,Self-RAG.pdf (Page 1),SUPPORTED,0.941,Self-RAG.pdf (Page 4),True
SR-08,SELF-RAG,7,"In essence, the SELF-RAG generator is designed to decide when to retrieve information, evaluate the utility of retrieved passages, and generate both the response and reflection tokens for that response.",SUPPORTED,ENTAILMENT,0.8496,Self-RAG.pdf (Page 2),SUPPORTED,0.846,Self-RAG.pdf (Page 4),True
SR-08,SELF-RAG,8,This allows the model to produce more accurate and contextually relevant responses.,SUPPORTED,ENTAILMENT,0.7305,Self-RAG.pdf (Page 2),PARTIALLY_SUPPORTED,0.667,Self-RAG.pdf (Page 1),False
SR-09,SELF-RAG,1,"After the critic determines that a retrieved passage is relevant to the generated response, the model generates a critique token to evaluate if the information in the response segment is supported by the passage.",SUPPORTED,ENTAILMENT,0.5942,Self-RAG.pdf (Page 4),SUPPORTED,0.917,Self-RAG.pdf (Page 4),True
SR-09,SELF-RAG,2,"If the information is supported, the model generates the next response segment.",SUPPORTED,ENTAILMENT,0.6099,Self-RAG.pdf (Page 4),SUPPORTED,1.0,Self-RAG.pdf (Page 4),True
SR-09,SELF-RAG,3,"If not, the model may continue to retrieve and evaluate additional passages until a supported response is generated.",SUPPORTED,ENTAILMENT,0.5757,Self-RAG.pdf (Page 3),SUPPORTED,0.833,Self-RAG.pdf (Page 4),True
SR-09,SELF-RAG,4,This process continues until the model generates a response that is deemed useful and supported by the available passages.,SUPPORTED,ENTAILMENT,0.6919,Self-RAG.pdf (Page 4),PARTIALLY_SUPPORTED,0.722,Self-RAG.pdf (Page 1),False
SR-10,SELF-RAG,1,"According to the document RAG.pdf [1], SELF-RAG's performance on the PQA, Med, and ASQA metrics is not directly compared with the No Retriever and No Critic variants in Figure 3(a).",SUPPORTED,ENTAILMENT,0.7979,Self-RAG.pdf (Page 9),SUPPORTED,0.828,Self-RAG.pdf (Page 9),True
SR-10,SELF-RAG,2,"Instead, Figure 3(a) shows the performance of RAG-Token and RAG-Sequence models as more documents are retrieved, with no specific comparison to other variants.",UNSUPPORTED,CONTRADICTION,0.6924,Self-RAG.pdf (Page 10),SUPPORTED,0.8,RAG.pdf (Page 8),False
SR-11,SELF-RAG,1,"The retrieval frequency dramatically changes when the retrieval threshold is increased, as shown in Figure 3(c).",SUPPORTED,ENTAILMENT,0.7393,Self-RAG.pdf (Page 10),PARTIALLY_SUPPORTED,0.733,Self-RAG.pdf (Page 9),False
SR-11,SELF-RAG,2,The model retrieves less as the threshold increases.,SUPPORTED,ENTAILMENT,0.9746,Self-RAG.pdf (Page 10),PARTIALLY_SUPPORTED,0.714,Self-RAG.pdf (Page 9),False
SR-12,SELF-RAG,1,"Increasing the amount of training data significantly improves SELF-RAG's performance on PopQA and ASQA, while no significant improvements are observed on PubHealth.",UNSUPPORTED,CONTRADICTION,0.8608,Self-RAG.pdf (Page 10),SUPPORTED,0.913,Self-RAG.pdf (Page 10),False
SR-12,SELF-RAG,2,"This information can be inferred from the context on pages 9 and 10 of the document ""Self-RAG.pdf"".",SUPPORTED,ENTAILMENT,0.52,Self-RAG.pdf (Page 10),PARTIALLY_SUPPORTED,0.611,Self-RAG.pdf (Page 10),False
SR-12,SELF-RAG,3,"The figures mentioned are not explicitly provided, but the performance analysis on different amounts of training data is described in detail.",SUPPORTED,ENTAILMENT,0.8774,Self-RAG.pdf (Page 10),SUPPORTED,0.75,Self-RAG.pdf (Page 10),True
SR-13,SELF-RAG,1,"Increasing the retrieval threshold creates a trade-off between retrieval frequency and model performance because, with a higher threshold, the model retrieves less often, which may lead to a decrease in model performance due to less available information.",SUPPORTED,ENTAILMENT,0.855,RAG.pdf (Page 19),PARTIALLY_SUPPORTED,0.536,Self-RAG.pdf (Page 9),False
SR-13,SELF-RAG,2,"However, on some datasets like PubHealth, the performance drop by retrieving less is smaller compared to others like PopQA.",SUPPORTED,ENTAILMENT,0.9917,Self-RAG.pdf (Page 10),PARTIALLY_SUPPORTED,0.611,Self-RAG.pdf (Page 10),False
SR-13,SELF-RAG,3,"This information is found on page 9 of the document ""SELF-RAG.pdf"" in the context provided.",PARTIALLY_SUPPORTED,NEUTRAL,0.9985,Self-RAG.pdf (Page 9),PARTIALLY_SUPPORTED,0.625,Self-RAG.pdf (Page 9),True
SR-14,SELF-RAG,1,"SELF-RAG can outperform conventional retrieval-augmented models on tasks where the answer cannot simply be copied from retrieved passages because it uses a self-reflection mechanism that allows the model to evaluate the relevance, support, and completeness of the generated output and the retrieved passages.",SUPPORTED,ENTAILMENT,0.7148,Self-RAG.pdf (Page 2),SUPPORTED,0.763,Self-RAG.pdf (Page 3),True
SR-14,SELF-RAG,2,"This mechanism enables the model to make more informed decisions about when and how to use the retrieved passages, resulting in more accurate and relevant responses.",SUPPORTED,ENTAILMENT,0.6743,Self-RAG.pdf (Page 2),PARTIALLY_SUPPORTED,0.636,Self-RAG.pdf (Page 2),False
SR-14,SELF-RAG,3,"In contrast, conventional retrieval-augmented models may indiscriminately use retrieved passages without ensuring complete support from the cited sources, leading to less accurate and relevant responses.",SUPPORTED,ENTAILMENT,0.6758,Self-RAG.pdf (Page 2),SUPPORTED,0.769,Self-RAG.pdf (Page 3),True
SR-15,SELF-RAG,1,"The S&P, ISREL, and ISSUP evaluations indicate that the quality and grounding of SELF-RAG outputs are Supported and Plausible, as the model's responses are correct and fully supported by the provided reference.",SUPPORTED,ENTAILMENT,0.5854,Self-RAG.pdf (Page 10),SUPPORTED,0.846,Self-RAG.pdf (Page 10),True
SR-15,SELF-RAG,2,"The ISREL and ISSUP evaluations are specifically relevant and fully supported, while the ISUSE evaluation is 5.",SUPPORTED,ENTAILMENT,0.9834,Self-RAG.pdf (Page 24),SUPPORTED,0.867,Self-RAG.pdf (Page 10),True
D-01,Donut,1,"The name Donut stands for ""Document Understanding Transformer"".",SUPPORTED,ENTAILMENT,0.9785,Donut.pdf (Page 3),SUPPORTED,0.75,Donut.pdf (Page 3),True
D-01,Donut,2,The model is designed to solve the problem of visual document understanding without relying on OCR (Optical Character Recognition) and can be trained in an end-to-end manner.,SUPPORTED,ENTAILMENT,0.9976,Donut.pdf (Page 14),SUPPORTED,0.769,Donut.pdf (Page 3),True
D-02,Donut,1,"The main problems associated with OCR-dependent Visual Document Understanding (VDU) methods, as per the provided context, are:
High computational costs due to the use of OCR.",SUPPORTED,ENTAILMENT,0.9951,Donut.pdf (Page 1),PARTIALLY_SUPPORTED,0.583,Donut.pdf (Page 3),False
D-02,Donut,2,Inflexibility of OCR models on languages or types of documents.,SUPPORTED,ENTAILMENT,0.7935,Donut.pdf (Page 3),SUPPORTED,1.0,Donut.pdf (Page 1),True
D-02,Donut,3,OCR error propagation to the subsequent process.,SUPPORTED,ENTAILMENT,0.6738,Donut.pdf (Page 3),SUPPORTED,0.857,Donut.pdf (Page 1),True
D-02,Donut,4,"These issues are addressed by the proposed OCR-free Document Understanding Transformer model, which aims to model a direct mapping from a raw input image to the desired output without relying on OCR.",SUPPORTED,ENTAILMENT,0.96,Donut.pdf (Page 3),SUPPORTED,0.821,Donut.pdf (Page 3),True
D-03,Donut,1,"Document Name: Donut.pdf
Architecture
Conventional OCR-based document understanding systems depend on OCR for text extraction, while Donut is an OCR-free system that models a direct mapping from a raw input image to the desired output.",SUPPORTED,ENTAILMENT,0.8618,Donut.pdf (Page 3),SUPPORTED,0.788,Donut.pdf (Page 3),True
D-03,Donut,2,"Pipeline
Not specified in document.",UNKNOWN,UNKNOWN,0.0,,UNKNOWN,0.0,,True
D-03,Donut,3,"Datasets
Not specified in document.",UNKNOWN,UNKNOWN,0.0,,UNKNOWN,0.0,,True
D-03,Donut,4,"Model / Algorithm
Donut is based on Transformer-only architecture, referred to as Document Understanding Transformer (Donut).",SUPPORTED,ENTAILMENT,0.9648,Donut.pdf (Page 3),SUPPORTED,0.929,Donut.pdf (Page 3),True
D-03,Donut,5,"Performance Metrics
Donut shows comparable or better overall performance than previous methods, as shown in Figure 2.",SUPPORTED,ENTAILMENT,0.9585,Donut.pdf (Page 3),SUPPORTED,0.938,Donut.pdf (Page 3),True
D-03,Donut,6,"Advantages
OCR-free, eliminating the need for post-OCR correction modules.",SUPPORTED,ENTAILMENT,0.5396,Donut.pdf (Page 3),SUPPORTED,0.8,Donut.pdf (Page 3),True
D-03,Donut,7,Can easily be trained in an end-to-end fashion.,SUPPORTED,ENTAILMENT,0.979,Donut.pdf (Page 14),SUPPORTED,1.0,Donut.pdf (Page 14),True
D-03,Donut,8,"Synthetic document image generator, SynthDoG, alleviates the dependency on large-scale real document images.",SUPPORTED,ENTAILMENT,0.855,Donut.pdf (Page 14),SUPPORTED,0.923,Donut.pdf (Page 14),True
D-03,Donut,9,Can be easily extended to a multi-lingual setting.,SUPPORTED,ENTAILMENT,0.9844,Donut.pdf (Page 3),SUPPORTED,1.0,Donut.pdf (Page 3),True
D-03,Donut,10,"Limitations
Not specified in document.",UNKNOWN,UNKNOWN,0.0,,UNKNOWN,0.0,,True
D-03,Donut,11,"Important Observations
Donut is pre-trained with document images and their text annotations.",SUPPORTED,ENTAILMENT,0.9419,Donut.pdf (Page 3),SUPPORTED,0.846,Donut.pdf (Page 3),True
D-03,Donut,12,"The pre-training objective is simple, i.e., reading the texts, which enables domain and language flexibility straightforwardly.",SUPPORTED,ENTAILMENT,0.9487,Donut.pdf (Page 3),SUPPORTED,0.941,Donut.pdf (Page 3),True
D-03,Donut,13,"Technical Comparison
Architecture Differences: Donut is OCR-free, while conventional systems depend on OCR.",SUPPORTED,ENTAILMENT,0.9097,Donut.pdf (Page 3),PARTIALLY_SUPPORTED,0.538,Donut.pdf (Page 3),False
D-03,Donut,14,Pipeline Differences: Not specified in either document.,UNKNOWN,UNKNOWN,0.0,,UNKNOWN,0.0,,True
D-03,Donut,15,"Model Differences: Donut is based on Transformer-only architecture, while conventional systems may use various models.",SUPPORTED,ENTAILMENT,0.9155,Donut.pdf (Page 3),PARTIALLY_SUPPORTED,0.625,Donut.pdf (Page 3),False
D-03,Donut,16,Dataset Differences: Not specified in either document.,UNKNOWN,UNKNOWN,0.0,,UNKNOWN,0.0,,True
D-03,Donut,17,Performance Comparison: Donut shows comparable or better overall performance than previous methods.,SUPPORTED,ENTAILMENT,0.9136,Donut.pdf (Page 3),SUPPORTED,0.909,Donut.pdf (Page 3),True
D-03,Donut,18,"Strengths: OCR-free, easy to train",SUPPORTED,ENTAILMENT,0.7441,Donut.pdf (Page 3),PARTIALLY_SUPPORTED,0.667,Donut.pdf (Page 3),False
D-04,Donut,1,Donut uses a Swin Transformer as its visual encoder in the experiments.,UNSUPPORTED,CONTRADICTION,0.8296,Donut.pdf (Page 8),SUPPORTED,0.833,Donut.pdf (Page 4),False
D-05,Donut,1,Donut uses the BART (Denoising Autoencoder for Retrieval and Translation) decoder to convert visual features into structured information.,UNSUPPORTED,CONTRADICTION,0.8911,Donut.pdf (Page 4),PARTIALLY_SUPPORTED,0.667,Donut.pdf (Page 4),False
D-06,Donut,1,"Information flows through Donut as follows:
The input document image is processed by the visual encoder, which converts it into a set of embeddings.",SUPPORTED,ENTAILMENT,0.7241,Donut.pdf (Page 4),SUPPORTED,0.826,Donut.pdf (Page 4),True
D-06,Donut,2,"In this study, Swin Transformer is used as the encoder network.",SUPPORTED,ENTAILMENT,0.4675,Donut.pdf (Page 4),SUPPORTED,1.0,Donut.pdf (Page 4),True
D-06,Donut,3,"The encoded embeddings are then fed into the textual decoder, which maps the derived features into a sequence of subword tokens.",UNSUPPORTED,CONTRADICTION,0.6338,Donut.pdf (Page 4),SUPPORTED,1.0,Donut.pdf (Page 4),False
D-06,Donut,4,"The sequence of subword tokens is used to construct a desired structured format, such as JSON.",SUPPORTED,ENTAILMENT,0.9478,Donut.pdf (Page 4),SUPPORTED,0.938,Donut.pdf (Page 4),True
D-06,Donut,5,"Each model component is Transformer-based, allowing for easy end-to-end training.",SUPPORTED,ENTAILMENT,0.9951,Donut.pdf (Page 4),SUPPORTED,0.833,Donut.pdf (Page 4),True
D-06,Donut,6,"The final structured output is the answer to the question posed, in the format specified by the question.",SUPPORTED,ENTAILMENT,0.5942,Donut.pdf (Page 3),SUPPORTED,0.846,Donut.pdf (Page 4),True
D-06,Donut,7,"In the example provided, the question is ""what is the price of choco mochi?"", and the final structured output is the price, formatted as ""14,000"".",SUPPORTED,ENTAILMENT,0.5693,Donut.pdf (Page 4),SUPPORTED,0.842,Donut.pdf (Page 4),True
D-06,Donut,8,"Donut does not rely on any modules related to OCR functionality, but it uses a visual encoder for extracting features from the given document image.",SUPPORTED,ENTAILMENT,0.9917,Donut.pdf (Page 4),SUPPORTED,1.0,Donut.pdf (Page 4),True
D-06,Donut,9,This makes it an end-to-end (self-contained) VDU model for general understanding of document images.,SUPPORTED,ENTAILMENT,0.6416,Donut.pdf (Page 3),SUPPORTED,0.938,Donut.pdf (Page 4),True
D-07,Donut,1,Donut does not require an OCR module because it models a direct mapping from a raw input image to the desired output without OCR.,SUPPORTED,ENTAILMENT,0.9604,Donut.pdf (Page 14),SUPPORTED,0.818,Donut.pdf (Page 3),True
D-07,Donut,2,"This is done by using a visual encoder for extracting features from a given document image, and a textual decoder for mapping the derived features into a sequence of subword tokens to construct a desired structured format.",SUPPORTED,ENTAILMENT,0.9785,Donut.pdf (Page 4),SUPPORTED,0.839,Donut.pdf (Page 4),True
D-07,Donut,3,"(Donut.pdf, Page 2, 4, 9, 11)",SUPPORTED,ENTAILMENT,0.5415,Donut.pdf (Page 3),PARTIALLY_SUPPORTED,0.714,Donut.pdf (Page 3),False
D-08,Donut,1,Donut's pre-training process teaches the model to read text from document images by predicting the next words by conditioning jointly on the image and previous text contexts.,SUPPORTED,ENTAILMENT,0.9976,Donut.pdf (Page 3),SUPPORTED,0.8,Donut.pdf (Page 3),True
D-08,Donut,2,"During the pre-training phase, Donut learns how to read the texts using a Transformer-based visual encoder and is pre-trained with document images and their text annotations.",PARTIALLY_SUPPORTED,NEUTRAL,0.9888,Donut.pdf (Page 3),SUPPORTED,0.769,Donut.pdf (Page 3),False
D-08,Donut,3,"The pre-training objective is simple, allowing for domain and language flexibility, and can be realized straightforwardly by pre-training with synthetic data.",SUPPORTED,ENTAILMENT,0.9971,Donut.pdf (Page 3),SUPPORTED,0.8,Donut.pdf (Page 3),True
D-09,Donut,1,The SynthDoG synthetic document generator is used to generate samples for pre-training a document understanding model.,SUPPORTED,ENTAILMENT,0.9395,Donut.pdf (Page 23),SUPPORTED,0.812,Donut.pdf (Page 23),True
D-09,Donut,2,"It is built using the Chinese, Japanese, Korean, and English Wikipedia, and follows the image rendering pipeline of Yim et al.",SUPPORTED,ENTAILMENT,0.9863,Donut.pdf (Page 5),SUPPORTED,0.842,Donut.pdf (Page 5),True
D-09,Donut,3,The generated samples play an important role in the pre-training of the Donut model.,SUPPORTED,ENTAILMENT,0.9922,Donut.pdf (Page 23),SUPPORTED,0.846,Donut.pdf (Page 23),True
D-09,Donut,4,Details of SynthDoG can be found in the code and Appendix A.2 of the document.,SUPPORTED,ENTAILMENT,0.5601,Donut.pdf (Page 6),SUPPORTED,0.923,Donut.pdf (Page 6),True
D-10,Donut,1,"Donut outperforms OCR-dependent VDU models in terms of memory usage (91M vs. Not specified in the provided documents), inference time (0.6 sec vs. Not specified in the provided documents), and accuracy (0.8% vs. Not specified in the provided documents).",UNKNOWN,UNKNOWN,0.0,,UNKNOWN,0.0,,True
D-11,Donut,1,"Donut converts a document image into a structured JSON-like output through the following process:
Visual Encoder: The input document image is first converted into a set of embeddings by the visual encoder.",SUPPORTED,ENTAILMENT,0.6812,Donut.pdf (Page 4),SUPPORTED,0.917,Donut.pdf (Page 4),True
D-11,Donut,2,"This encoder can be a CNN-based model, Transformer-based model, or in this study, Swin Transformer is used due to its best performance in preliminary studies.",PARTIALLY_SUPPORTED,NEUTRAL,0.854,Donut.pdf (Page 6),SUPPORTED,0.864,Donut.pdf (Page 4),False
D-11,Donut,3,"Swin Transformer splits the input image into non-overlapping patches, applies Swin Transformer blocks (consisting of a shifted window-based multi-head self-attention module and a two-layer MLP), and patch merging layers at each stage.",SUPPORTED,ENTAILMENT,0.6074,Donut.pdf (Page 3),SUPPORTED,0.939,Donut.pdf (Page 4),True
D-11,Donut,4,The output of the final Swin Transformer block is fed into the textual decoder.,UNSUPPORTED,CONTRADICTION,0.4734,Donut.pdf (Page 4),SUPPORTED,1.0,Donut.pdf (Page 4),False
D-11,Donut,5,Textual Decoder: The output of the final Swin Transformer block is fed into the textual decoder.,PARTIALLY_SUPPORTED,NEUTRAL,0.9399,Donut.pdf (Page 4),SUPPORTED,1.0,Donut.pdf (Page 4),False
D-11,Donut,6,"The decoder maps the derived features into a sequence of subword tokens to construct a desired structured format, such as JSON.",SUPPORTED,ENTAILMENT,0.7363,Donut.pdf (Page 6),SUPPORTED,0.947,Donut.pdf (Page 4),True
D-11,Donut,7,Each model component is Transformer-based.,SUPPORTED,ENTAILMENT,0.9858,Donut.pdf (Page 4),SUPPORTED,1.0,Donut.pdf (Page 4),True
D-11,Donut,8,"Output Conversion: The output token sequence is converted to a desired structured format, such as JSON.",SUPPORTED,ENTAILMENT,0.9097,Donut.pdf (Page 5),SUPPORTED,0.933,Donut.pdf (Page 5),True
D-11,Donut,9,Special tokens like [START *] and,SUPPORTED,ENTAILMENT,0.9634,Donut.pdf (Page 5),SUPPORTED,0.8,Donut.pdf (Page 5),True
D-11,Donut,10,"[END *] are added to the sequence, where * indicates each field to extract.",SUPPORTED,ENTAILMENT,0.6094,Donut.pdf (Page 3),SUPPORTED,0.909,Donut.pdf (Page 5),True
D-11,Donut,11,"If the output token sequence is wrongly structured, the field is treated as lost.",SUPPORTED,ENTAILMENT,0.9336,Donut.pdf (Page 5),SUPPORTED,0.917,Donut.pdf (Page 5),True
D-11,Donut,12,"In summary, Donut directly maps an input document image into a desired structured output without relying on any modules related to OCR functionality.",SUPPORTED,ENTAILMENT,0.9932,Donut.pdf (Page 14),SUPPORTED,0.826,Donut.pdf (Page 4),True
D-11,Donut,13,The output is in the form of a JSON-like structure.,SUPPORTED,ENTAILMENT,0.4788,Donut.pdf (Page 4),SUPPORTED,0.8,Donut.pdf (Page 4),True
D-12,Donut,1,"In Figure 6, the examples demonstrate the strengths and limitations of Donut compared with LayoutLMv2 on DocVQA as follows:
Strengths of Donut:",SUPPORTED,ENTAILMENT,0.4946,Donut.pdf (Page 11),PARTIALLY_SUPPORTED,0.611,Donut.pdf (Page 11),False
D-12,Donut,2,"Donut shows a promising result without OCR, as shown by the high Average Normalized Levenshtein Similarity (ANLS) score on the handwritten documents, which are known to be challenging due to the difficulty of handwriting OCR.",SUPPORTED,ENTAILMENT,0.8223,Donut.pdf (Page 11),SUPPORTED,0.935,Donut.pdf (Page 11),True
D-12,Donut,3,"Donut shows robust performances, especially in low-resourced situations.",SUPPORTED,ENTAILMENT,0.9497,Donut.pdf (Page 13),SUPPORTED,0.778,Donut.pdf (Page 13),True
D-12,Donut,4,"It outperformed the LayoutLMv2 accuracy with only 10% of the data, which is only 80 samples, in an extremely low-resourced situation.",SUPPORTED,ENTAILMENT,0.9692,Donut.pdf (Page 13),SUPPORTED,0.9,Donut.pdf (Page 13),True
D-12,Donut,5,"Limitations of Donut:
OCR errors make a performance upper-bound of the OCR-dependent baselines, such as LayoutLMv2.",SUPPORTED,ENTAILMENT,0.8228,Donut.pdf (Page 11),SUPPORTED,0.812,Donut.pdf (Page 11),True
