question_id,document,question_type,question,document_scope,explicit_figure_query,present_in_final,figure_diagnostic,retrieved_count_stage1,final_context_docs,verification_units,verification_supported,verification_partial,verification_unsupported,verification_unknown,groundedness_ratio,image_count,error,elapsed_sec,rag_answer,ground_truth_answer
SR-11,SELF-RAG,Figure / table understanding,"According to Figure 3(c), what happens to retrieval frequency when the retrieval threshold is increased?",None,True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,10,2,2,0,0,0,1.00,2,False,45.6," The retrieval frequency dramatically changes when the retrieval threshold is increased, as shown in Figure 3(c). The model retrieves less as the threshold increases.","Increasing the retrieval threshold δ decreases retrieval frequency. The paper notes that larger δ means less retrieval; reducing retrieval causes performance deterioration, with the deterioration smaller on PubHealth and larger on PopQA."
SR-12,SELF-RAG,Figure / table understanding,"According to Figure 4, how does increasing the amount of training data affect SELF-RAG performance on PopQA, PubHealth, and ASQA?","['RAG.pdf', 'Self-RAG.pdf']",True,False,[FIGURE DIAGNOSTIC] FAIL — figure/page image was retrieved but disappeared before final context.,8,8,4,2,0,2,0,0.50,1,False,93.7," Increasing the amount of training data significantly improves SELF-RAG's performance on PopQA and ASQA. The figure provided, Figure 4, shows an upward trajectory in performance as the training data size increases from 5k to 150k instances. However, no significant improvements are observed on Llama2-FT7B when increasing the training data from 50k to 150k. This suggests that further expanding the training data of SELF-RAG may lead to further improvements, although in this work they limit their tr","Increasing training-data size generally improves SELF-RAG performance on PopQA, PubHealth, and ASQA. The gains are especially pronounced on PopQA and ASQA, while the paper notes that Llama2-FT7B shows much smaller improvement when increasing training data from 50k to 150k."
SR-13,SELF-RAG,Deeper reasoning,Why does increasing the retrieval threshold create a trade-off between retrieval frequency and model performance?,None,False,,,8,11,2,1,0,0,1,0.50,3,False,118.4," Increasing the retrieval threshold creates a trade-off between retrieval frequency and model performance because, with a higher threshold, the model retrieves less often, which may lead to a decrease in the model's performance due to having less information to generate responses. However, on the other hand, reducing the retrieval frequency may also lead to a smaller performance drop on datasets like PubHealth but a larger drop on datasets like PopQA (Not specified in the provided documents abou","A higher retrieval threshold makes the model retrieve less often. This saves retrieval effort and reduces retrieval frequency, but fewer retrieved passages can remove useful evidence and therefore reduce answer performance. The paper observes that this performance deterioration is smaller on PubHealth and larger on PopQA."
SR-14,SELF-RAG,Deeper reasoning,Why can SELF-RAG outperform conventional retrieval-augmented models on tasks where the answer cannot simply be copied from retrieved passages?,"['RAG.pdf', 'Self-RAG.pdf']",False,,,8,11,3,3,0,0,0,1.00,3,False,59.4," SELF-RAG can outperform conventional retrieval-augmented models on tasks where the answer cannot simply be copied from retrieved passages because it uses a self-reflection mechanism to evaluate the relevance, support, and completeness of the generated output and the retrieved passages. This allows SELF-RAG to focus on the most relevant and supportive passages, improving the quality and factuality of the generated responses without sacrificing the original creativity and versatility of the langu","Conventional retrieval-augmented models can struggle on tasks where the answer cannot simply be copied or extracted from retrieved passages. SELF-RAG instead evaluates passage relevance and support, critiques its own candidate generations, and uses these reflection signals to select a generation that combines retrieved evidence with reasoning/generation rather than relying on direct copying."
SR-15,SELF-RAG,Deeper reasoning,"According to the paper's human evaluation, what do the S&P, ISREL, and ISSUP evaluations tell us about the quality and grounding of SELF-RAG outputs?","['RAG.pdf', 'Self-RAG.pdf']",False,,,8,10,2,1,1,0,0,0.50,3,False,52.3," The S&P, ISREL, and ISSUP evaluations indicate that the quality and grounding of SELF-RAG outputs are Supported and Plausible, as the model's responses are relevant and fully supported by the provided reference. The ISREL and ISSUP evaluations are specifically based on the information from the book ""The Lie"" by Sam Harris.","S&P measures whether an output is plausible/reasonable and supported by sufficient evidence. ISREL measures whether the cited/retrieved passage is relevant to the question, and ISSUP measures whether the generated claim is supported by that passage. In the human evaluation, PopQA achieved S&P 92.5%, ISREL 95.0%, and ISSUP 90.0%; Bio achieved 70.0%, 90.0%, and 85.0%, respectively. The authors conclude that outputs are often plausible and supported and that ISREL/ISSUP reflection predictions mostl"
D-01,Donut,Basic factual / retrieval,"What does the name Donut stand for, and what problem is the model designed to solve?",['Donut.pdf'],False,,,8,11,2,2,0,0,0,1.00,3,False,84.4," The name Donut stands for ""OCR-free Document Understanding Transformer"". The model is designed to solve the problems induced by the OCR-dependency in visual document understanding.","Donut stands for **Document understanding transformer**. It is an OCR-free, end-to-end Visual Document Understanding (VDU) model designed to map a raw document image directly to a desired structured output without relying on an external OCR system."
D-02,Donut,Basic factual / retrieval,What are the main problems associated with OCR-dependent Visual Document Understanding methods?,None,False,,,8,11,4,2,1,1,0,0.50,4,False,119.6," The main problems associated with OCR-dependent Visual Document Understanding (VDU) methods, as per the provided context, are:

1. High computational costs due to the use of OCR.
2. Inflexibility of OCR models on languages or types of documents.
3. OCR error propagation to the subsequent process.

These issues are addressed by the introduction of an OCR-free Document Understanding Transformer model, which models a direct mapping from a raw input image to the desired output without the need for ","The paper identifies three major problems with OCR-dependent VDU: high computational cost for OCR, inflexibility across languages and document/domain changes, and propagation of OCR errors into downstream VDU processing. The paper also discusses poor OCR quality for complex scripts such as Korean and Chinese and the added size/maintenance cost of post-OCR correction."
D-03,Donut,Basic factual / retrieval,What is the main architectural difference between Donut and conventional OCR-based document understanding systems?,None,False,,,8,4,15,9,2,0,4,0.60,3,False,116.6," Document Name: Donut.pdf

Architecture

Conventional OCR-based document understanding systems rely on OCR (Optical Character Recognition) to convert images of text into editable and searchable data. In contrast, Donut is an OCR-free Document Understanding Transformer that models a direct mapping from a raw input image to the desired output without the need for OCR.

Pipeline

Not specified in document.

Datasets

Not specified in document.

Model / Algorithm

Donut is based on a Transformer-onl","Donut directly maps the document image to structured output through an end-to-end Transformer-based visual encoder and textual decoder, without an OCR stage. Conventional VDU systems first use OCR to detect/recognize text and then pass OCR text and locations to a downstream understanding/parsing model."
D-04,Donut,Basic factual / retrieval,What type of visual encoder does Donut use in the experiments?,['Donut.pdf'],False,,,8,11,1,0,1,0,0,0.00,3,False,91.2, Donut uses a Swin Transformer as its visual encoder in the experiments.,Donut uses a **Swin Transformer** as its visual encoder in the experiments. The paper states that Swin Transformer performed best in their preliminary document-parsing study.
D-05,Donut,Basic factual / retrieval,What type of decoder does Donut use to convert visual features into structured information?,['Donut.pdf'],False,,,8,11,1,0,0,1,0,0.00,4,False,48.2, Donut uses the BART (Denoising Autoencoder for Retrieval and Translation) decoder to convert visual features into structured information.,"Donut uses a **textual decoder** that converts visual features into a sequence of subword tokens, which are then converted into the desired structured format. The decoder architecture is **BART**, initialized from a publicly available pre-trained multilingual BART model."
D-06,Donut,Architecture / reasoning,How does information flow through Donut from the input document image to the final structured output?,['Donut.pdf'],False,,,8,11,10,6,1,3,0,0.60,3,False,80.3," Information flows through Donut as follows:

1. The input document image is processed by the visual encoder, which converts it into a set of embeddings. In this study, Swin Transformer is used as the encoder network.

2. The encoded embeddings are then fed into the textual decoder, which maps the derived features into a sequence of subword tokens.

3. The sequence of subword tokens is used to construct a desired structured format, such as JSON. Each model component is Transformer-based, and thu","The input document image is processed by the visual encoder (Swin Transformer), which produces visual embeddings. The textual decoder then conditions on those embeddings and generates a sequence of subword tokens. The token sequence is converted into a structured output such as JSON using the task-specific output format/parsing rules."
D-07,Donut,Architecture / reasoning,Why does Donut not require an OCR module?,['Donut.pdf'],False,,,8,11,3,3,0,0,0,1.00,3,False,89.9," Donut does not require an OCR module because it models a direct mapping from a raw input image to the desired output without OCR. This is done by using a visual encoder for extracting features from a given document image and a textual decoder for constructing a structured format, both of which are Transformer-based. (Donut.pdf, Page 2, 9)","Donut does not require OCR because it learns an end-to-end mapping directly from the raw document image to the desired output. Its visual encoder extracts features directly from the image, and the textual decoder converts those features into output tokens; no external OCR module is required."
D-08,Donut,Architecture / reasoning,How does Donut's pre-training process teach the model to read text from document images?,['Donut.pdf'],False,,,8,11,3,2,1,0,0,0.67,3,False,80.4," Donut's pre-training process teaches the model to read text from document images by predicting the next words by conditioning jointly on the image and previous text contexts. During the pre-training phase, Donut learns how to read the texts using a Transformer-based visual encoder and is pre-trained with document images and their text annotations. Since the pre-training objective is simple (i.e., reading the texts), domain and language flexibility can be realized straightforwardly pre-training ","During pre-training, Donut learns to read document text by predicting the next word while jointly conditioning on the document image and the preceding text context. It is pre-trained on document images and their text annotations, using text reading as the pre-training objective."
D-09,Donut,Architecture / reasoning,What is the purpose of the SynthDoG synthetic document generator?,None,False,,,8,10,5,3,2,0,0,0.60,3,False,80.9, The SynthDoG synthetic document generator is used to generate samples for pre-training a model to understand document images. These samples are generated from multi-lingual text corpora from Wikipedia and rendered using a pipeline that follows Yim et al. [67]. The generator mimics real documents using image rendering techniques and applies a heuristic rule-based pattern generator to generate text regions. The text content and style are prepared from the multi-lingual text corpora and Noto fonts,SynthDoG is a synthetic document-image generator used to create synthetic training data for Donut's pre-training. It reduces dependence on large-scale real document images and enables easier domain and multilingual extension; the paper shows synthetic data are useful for text-reading pre-training and multilingual settings.
D-10,Donut,Figure / visual understanding,"According to Figure 2, how does Donut compare with OCR-dependent VDU models in terms of inference time, memory usage, and accuracy?",['Donut.pdf'],True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,9,1,0,0,0,1,0.00,1,False,69.0," Donut outperforms OCR-dependent VDU models in terms of memory usage (91M vs. Not specified in the provided documents), inference time (0.6 sec vs. Not specified in the provided documents), and accuracy (0.8% vs. Not specified in the provided documents).","Figure 2 shows Donut outperforming the OCR-dependent VDU pipeline in the reported system benchmark: Donut uses less memory (about **143M vs. 179M**), lower time cost (about **0.9 vs. 1.2 sec/image**), and higher accuracy (**91% vs. 82%**) in the comparison shown. The paper summarizes this as better memory, time cost, and accuracy."
D-11,Donut,Figure / visual understanding,"Using Figure 3, explain how Donut converts a document image into a structured JSON-like output.",['Donut.pdf'],True,False,[FIGURE DIAGNOSTIC] FAIL — figure/page image was retrieved but disappeared before final context.,8,8,12,8,1,3,0,0.67,3,False,89.6," Donut converts a document image into a structured JSON-like output through the following steps:

1. Visual Encoding: The input document image is first converted into a set of embeddings by the visual encoder. This encoder can be a CNN-based model, a Transformer-based model, or in this case, a Swin Transformer. The Swin Transformer splits the input image into non-overlapping patches, applies Swin Transformer blocks (consisting of a shifted window-based multi-head self-attention module and a two-","Figure 3 shows the image first entering Donut's Transformer visual encoder, which converts it into embeddings. The textual decoder uses those embeddings to generate a sequence of tokens. That output sequence is then converted into the target structured representation, such as JSON; the figure illustrates this with a receipt/question example."
D-12,Donut,Figure / visual understanding,"In Figure 6, what examples demonstrate the strengths and limitations of Donut compared with LayoutLMv2 on DocVQA?",['Donut.pdf'],True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,12,7,4,3,0,0,0.57,5,False,83.2," In Figure 6, the examples demonstrate the strengths and limitations of Donut compared with LayoutLMv2 on DocVQA as follows:

Strengths of Donut:
1. Donut shows a promising result without OCR, as shown by the high ANLS score on the handwritten documents which are known to be challenging due to the difficulty of handwriting OCR (See Figure 6).
2. Donut shows robust performances, especially in low-resourced situations. For example, Donut outperformed the LayoutLMv2 accuracy only with 10% of the da","Figure 6 shows that OCR errors can cause LayoutLMv2-based systems to produce incorrect answers: for example, LayoutLMv2-Large-QG outputs an incorrect passenger name and phone number in the shown examples. Donut correctly answers some examples, including the passenger name and phone number, but in the rightmost large-scale image it misses tiny text because of its input-resolution constraint. The paper notes that increasing input resolution can mitigate this limitation."
D-13,Donut,Table / numerical reasoning,"According to Table 3, what are the ANLS scores of Donut on the DocVQA test set and the handwritten subset, and how do they compare with LayoutLMv2?",['Donut.pdf'],False,,,8,10,3,1,1,0,1,0.33,4,False,80.2," The ANLS score of Donut on the DocVQA test set is not specified in the provided documents. However, on the handwritten subset, Donut achieves a higher score compared to LayoutLMv2. Specifically, Donut's score is 943, while LayoutLMv2's score is 540.","In Table 3, Donut achieves **67.5 ANLS** on the DocVQA test set and **72.1 ANLS** on the handwritten subset. LayoutLMv2 achieves **78.1 ANLS** on the DocVQA test set; the handwritten-subset value is **not reported (n/a)** for LayoutLMv2. Thus Donut is below LayoutLMv2 on the reported general DocVQA test set but has a reported handwritten score where LayoutLMv2 has no handwritten score in this table."
D-14,Donut,Table / numerical reasoning,"According to Figure 7, how does increasing the input image resolution affect Donut's performance, particularly on DocVQA?",['Donut.pdf'],True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,9,3,3,0,0,0,1.00,1,False,52.1," Increasing the input image resolution in Donut positively affects its performance, particularly on DocVQA. The performance of Donut on DocVQA grows rapidly as a larger input size is set, as shown in Figure 7(c). However, it's important to note that increasing the size for a precise result incurs bigger computational costs.","Figure 7(c) shows that Donut's performance increases rapidly as input image resolution increases. The improvement is particularly clear on DocVQA, whose images contain many tiny texts. However, larger input resolutions increase computational cost, creating a speed/accuracy trade-off."
D-15,Donut,Deeper reasoning,Why does the paper argue that Donut's OCR-free approach can be advantageous for multilingual document understanding and real-world deployment?,['Donut.pdf'],False,,,8,11,5,4,1,0,0,0.80,3,False,87.0," The paper argues that Donut's OCR-free approach can be advantageous for multilingual document understanding and real-world deployment due to several reasons. First, it eliminates the need to retrain an off-the-shelf OCR engine for different languages or domain changes, which can be expensive and inflexible. Second, it addresses the issue of OCR error propagation to subsequent processes, which can occur in OCR-based approaches. Lastly, it is cost-effective, as using pre-trained off-the-shelf OCR","The OCR-free approach is advantageous because it removes dependence on external OCR engines, avoiding their computational, maintenance, language/domain-flexibility, and error-propagation costs. Donut can use synthetic document data for pre-training, making it easier to extend to new languages and domains without retraining separate off-the-shelf OCR systems. The end-to-end design is therefore attractive for multilingual and real-world deployment."
L1,LayoutLMv3,Core understanding,"What is the main purpose of LayoutLMv3, and what problem in Document AI pre-training does it aim to address?",['LayoutLMv3.pdf'],False,,,8,10,3,1,2,0,0,0.33,3,False,56.3," The main purpose of LayoutLMv3 is to introduce a multimodal model in Document AI that does not rely on a pre-trained CNN or Faster R-CNN backbone to extract visual features. This is aimed at significantly reducing parameters and eliminating complex pre-processing steps in Document AI models. The problem it aims to address in Document AI pre-training is the reliance on complex pre-trained CNN or Faster R-CNN backbones for extracting visual features, which can be resource-intensive and complex.","LayoutLMv3 aims to pre-train a multimodal Transformer for Document AI while addressing the mismatch between how text and image modalities are pre-trained in existing multimodal models. It uses unified discrete-token reconstruction objectives, MLM and MIM, together with WPA for cross-modal alignment, making the model applicable to both text-centric and image-centric Document AI tasks."
L2,LayoutLMv3,Core understanding,"What are the three pre-training objectives used by LayoutLMv3, and what does each objective learn?",['LayoutLMv3.pdf'],False,,,8,11,7,3,0,4,0,0.43,3,False,65.9," The three pre-training objectives used by LayoutLMv3 are:

1. Masked Language Modeling (MLM): This objective learns the language representation by masking 30% of text tokens and predicting them from the context.

2. Masked Image Modeling (MIM): This objective learns the image representation by masking out a portion of input image patches and reconstructing them in the output. This helps in preserving the image information until the last layer of the model.

3. Word-Patch Alignment (WPA): This o","LayoutLMv3 uses three objectives: (1) Masked Language Modeling (MLM), which masks text tokens and trains the model to reconstruct them; (2) Masked Image Modeling (MIM), which masks image patches and trains the model to reconstruct their discrete visual tokens obtained from a discrete VAE; and (3) Word-Patch Alignment (WPA), which predicts whether the image patch corresponding to a text word is masked, thereby learning fine-grained cross-modal alignment."
L3,LayoutLMv3,Core understanding,Why does LayoutLMv3 avoid using a pre-trained CNN or Faster R-CNN backbone for extracting visual features?,['LayoutLMv3.pdf'],False,,,8,11,2,2,0,0,0,1.00,3,False,86.7, LayoutLMv3 avoids using a pre-trained CNN or Faster R-CNN backbone for extracting visual features because it aims to significantly save parameters and eliminate region annotations. This design choice makes the model simpler and easier to reproduce.,"It avoids pre-trained CNN or Faster R-CNN backbones because those approaches introduce a heavy computational/parameter bottleneck or require region supervision. LayoutLMv3 instead uses simple linear patch embeddings, which significantly reduces parameters and removes the need for region annotations and complex visual preprocessing."
L4,LayoutLMv3,Core understanding,How does LayoutLMv3 represent document images before feeding them into the multimodal Transformer?,['LayoutLMv3.pdf'],False,,,8,10,3,0,1,2,0,0.00,3,False,52.9," LayoutLMv3 represents document images by resizing them into a specific size, splitting the image into a sequence of uniform patches, linearly projecting the image patches to a certain dimension, and flattening them into a sequence of vectors. This method is inspired by Vision Transformer (ViT) and ViLT. The image patches are then fed into the multimodal Transformer for further processing.","The document image is resized to H×W, split into uniform P×P patches, linearly projected into D-dimensional vectors, flattened into a sequence, and given learnable 1D position embeddings. This image-patch sequence is then used as the image input to the multimodal Transformer."
L5,LayoutLMv3,Architecture / layout understanding,What are the two types of embeddings that make up the text representation in LayoutLMv3?,['LayoutLMv3.pdf'],False,,,8,11,1,0,1,0,0,0.00,3,False,65.7, The text representation in LayoutLMv3 consists of two types of embeddings: word-level spatial embeddings and embeddings of BERT.,The text representation consists of word embeddings and position embeddings. The position embeddings include 1D sequence-position embeddings and 2D layout-position embeddings based on the text bounding boxes.
L6,LayoutLMv3,Architecture / layout understanding,How does LayoutLMv3's use of segment-level 2D positions differ from the word-level layout positions used by LayoutLM and LayoutLMv2?,['LayoutLMv3.pdf'],False,,,8,10,3,2,0,1,0,0.67,3,False,55.2," LayoutLMv3 uses segment-level 2D positions, while LayoutLM and LayoutLMv2 use word-level layout positions. The use of segment-level positions in LayoutLMv3 means that words in a segment share the same 2D position since the words usually express the same semantic meaning. This change may benefit the semantic entity labeling task on FUNSD, but it makes the results of LayoutLMv3 and the other works using word-level positions not directly comparable.","LayoutLM and LayoutLMv2 assign a separate 2D layout position to each word. LayoutLMv3 instead uses segment-level 2D positions, so words belonging to the same segment share the same layout position because they generally express the same semantic meaning."
L7,LayoutLMv3,Architecture / layout understanding,"According to Figure 3, how are the text tokens and image patches combined before being processed by the multimodal Transformer?",None,True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,9,3,0,0,3,0,0.00,2,False,52.4," The text tokens and image patches are combined before being processed by the multimodal Transformer by taking the linear projection of patches and word tokens as inputs. The image patches are resized, split into a sequence of uniform patches, linearly projected to D dimensions, flattened into a sequence of vectors, and added with learnable 1D position embeddings. The text tokens are embedded using word embedding layers.","LayoutLMv3 forms a text embedding sequence Y and an image embedding sequence X, then concatenates the two sequences before the multimodal Transformer. The text side contains word/position information, while the image side contains linearly projected image-patch embeddings; the Transformer jointly encodes the combined sequence into contextualized text-and-image representations."
L8,LayoutLMv3,Image / multimodal reasoning,What is the purpose of the Word-Patch Alignment (WPA) objective in LayoutLMv3?,['LayoutLMv3.pdf'],False,,,8,11,2,1,1,0,0,0.50,3,False,51.1, The purpose of the Word-Patch Alignment (WPA) objective in LayoutLMv3 is to learn a fine-grained alignment between text words and image patches in documents. This objective is proposed to facilitate cross-modal representation learning and improve the performance in both text-centric and image-centric tasks in Document AI.,"WPA learns fine-grained cross-modal alignment by predicting whether the image patch corresponding to a particular text word is masked. Because document words correspond to specific image regions, this objective teaches the model the relationship between textual tokens and their corresponding visual patches."
L9,LayoutLMv3,Image / multimodal reasoning,How does Masked Image Modeling (MIM) in LayoutLMv3 differ from reconstructing raw image pixels?,['LayoutLMv3.pdf'],False,,,8,11,2,0,2,0,0,0.00,4,False,53.4," Masked Image Modeling (MIM) in LayoutLMv3 differs from reconstructcting raw image pixels as it preserves the image information until the last layer of the model by randomly masking out a portion of input image patches and reconstructing them in the output. This approach allows the model to learn rich visual representations by predicting masked content conditioning in visible context, without directly dealing with raw image pixels.","Instead of reconstructing raw pixel values, LayoutLMv3's MIM reconstructs discrete image tokens for masked patches. The target tokens come from the latent codes of a discrete VAE, allowing the objective to capture higher-level document layout structure rather than noisy pixel details."
L10,LayoutLMv3,Image / multimodal reasoning,"According to Figure 2, how does LayoutLMv3's image embedding approach differ from the CNN/grid and region-feature approaches used by models such as DocFormer and SelfDoc?",None,True,True,[FIGURE DIAGNOSTIC] PASS — exact figure/page image evidence survived into final context.,8,9,3,0,3,0,0,0.00,2,False,58.8," LayoutLMv3's image embedding approach differs from the CNN/grid and region-feature approaches used by models such as DocFormer and SelfDoc in that it learns visual models from scratch via natural language supervision and does not densely connect the two domains with a joint attention model. The only interaction in a LayoutLMv3 model between the image and text domain is a single dot product in a learned joint embedding space. In contrast, models like DocFormer and SelfDoc use convolutional neura","LayoutLMv3 replaces CNN grid features and Faster R-CNN/region features with simple linear embeddings of raw image patches. CNN/grid approaches such as DocFormer use CNN-derived grid features, while region-based approaches such as SelfDoc use object/region features; LayoutLMv3 directly splits the image into patches, linearly projects them, and feeds them into the multimodal Transformer. This reduces computational cost and eliminates the need for region supervision."
