question_id,document,question,ground_truth_answer,ground_truth_source,current_rag_answer
D-03,Donut,What is the main architectural difference between Donut and conventional OCR-based document understanding systems?,"Donut directly maps the document image to structured output through an end-to-end Transformer-based visual encoder and textual decoder, without an OCR stage. Conventional VDU systems first use OCR to detect/recognize text and then pass OCR text and locations to a downstream understanding/parsing model.","Donut.pdf, pp. 2–4","Document Name: Donut.pdf

Architecture

Conventional OCR-based document understanding systems depend on OCR for text extraction, while Donut is an OCR-free system that models a direct mapping from a raw input image to the desired output.

Pipeline

Not specified in document.

Datasets

Not specified in document.

Model / Algorithm

Donut is based on Transformer-only architecture, referred to as Document Understanding Transformer (Donut).

Performance Metrics

Donut shows comparable or better overall performance than previous methods, as shown in Figure 2.

Advantages

1. OCR-free, eliminating the need for post-OCR correction modules.
2. Can easily be trained in an end-to-end fashion.
3. Synthetic document image generator, SynthDoG, alleviates the dependency on large-scale real document images.
4. Can be easily extended to a multi-lingual setting.

Limitations

Not specified in document.

Important Observations

Donut is pre-trained with document images and their text annotations. The pre-training objective is simple, i.e., reading the texts, which enables domain and language flexibility straightforwardly.

Technical Comparison

- Architecture Differences: Donut is OCR-free, while conventional systems depend on OCR.
- Pipeline Differences: Not specified in either document.
- Model Differences: Donut is based on Transformer-only architecture, while conventional systems may use various models.
- Dataset Differences: Not specified in either document.
- Performance Comparison: Donut shows comparable or better overall performance than previous methods.
- Strengths: OCR-free, easy to train"
D-04,Donut,What type of visual encoder does Donut use in the experiments?,Donut uses a **Swin Transformer** as its visual encoder in the experiments. The paper states that Swin Transformer performed best in their preliminary document-parsing study.,"Donut.pdf, p. 4",Donut uses a Swin Transformer as its visual encoder in the experiments.
D-05,Donut,What type of decoder does Donut use to convert visual features into structured information?,"Donut uses a **textual decoder** that converts visual features into a sequence of subword tokens, which are then converted into the desired structured format. The decoder architecture is **BART**, initialized from a publicly available pre-trained multilingual BART model.","Donut.pdf, pp. 4–5",Donut uses the BART (Denoising Autoencoder for Retrieval and Translation) decoder to convert visual features into structured information.
D-06,Donut,How does information flow through Donut from the input document image to the final structured output?,"The input document image is processed by the visual encoder (Swin Transformer), which produces visual embeddings. The textual decoder then conditions on those embeddings and generates a sequence of subword tokens. The token sequence is converted into a structured output such as JSON using the task-specific output format/parsing rules.","Donut.pdf, pp. 4–5","Information flows through Donut as follows:

1. The input document image is processed by the visual encoder, which converts it into a set of embeddings. In this study, Swin Transformer is used as the encoder network.

2. The encoded embeddings are then fed into the textual decoder, which maps the derived features into a sequence of subword tokens.

3. The sequence of subword tokens is used to construct a desired structured format, such as JSON. Each model component is Transformer-based, allowing for easy end-to-end training.

4. The final structured output is the answer to the question posed, in the format specified by the question.

In the example provided, the question is ""what is the price of choco mochi?"", and the final structured output is the price, formatted as ""14,000"".

Donut does not rely on any modules related to OCR functionality, but it uses a visual encoder for extracting features from the given document image. This makes it an end-to-end (self-contained) VDU model for general understanding of document images."
D-07,Donut,Why does Donut not require an OCR module?,"Donut does not require OCR because it learns an end-to-end mapping directly from the raw document image to the desired output. Its visual encoder extracts features directly from the image, and the textual decoder converts those features into output tokens; no external OCR module is required.","Donut.pdf, pp. 3–4","Donut does not require an OCR module because it models a direct mapping from a raw input image to the desired output without OCR. This is done by using a visual encoder for extracting features from a given document image, and a textual decoder for mapping the derived features into a sequence of subword tokens to construct a desired structured format. (Donut.pdf, Page 2, 4, 9, 11)"
D-08,Donut,How does Donut's pre-training process teach the model to read text from document images?,"During pre-training, Donut learns to read document text by predicting the next word while jointly conditioning on the document image and the preceding text context. It is pre-trained on document images and their text annotations, using text reading as the pre-training objective.","Donut.pdf, p. 3","Donut's pre-training process teaches the model to read text from document images by predicting the next words by conditioning jointly on the image and previous text contexts. During the pre-training phase, Donut learns how to read the texts using a Transformer-based visual encoder and is pre-trained with document images and their text annotations. The pre-training objective is simple, allowing for domain and language flexibility, and can be realized straightforwardly by pre-training with synthetic data."
D-09,Donut,What is the purpose of the SynthDoG synthetic document generator?,SynthDoG is a synthetic document-image generator used to create synthetic training data for Donut's pre-training. It reduces dependence on large-scale real document images and enables easier domain and multilingual extension; the paper shows synthetic data are useful for text-reading pre-training and multilingual settings.,"Donut.pdf, pp. 3, 23–24","The SynthDoG synthetic document generator is used to generate samples for pre-training a document understanding model. It is built using the Chinese, Japanese, Korean, and English Wikipedia, and follows the image rendering pipeline of Yim et al. [67]. The generated samples play an important role in the pre-training of the Donut model. Details of SynthDoG can be found in the code and Appendix A.2 of the document."
D-10,Donut,"According to Figure 2, how does Donut compare with OCR-dependent VDU models in terms of inference time, memory usage, and accuracy?","Figure 2 shows Donut outperforming the OCR-dependent VDU pipeline in the reported system benchmark: Donut uses less memory (about **143M vs. 179M**), lower time cost (about **0.9 vs. 1.2 sec/image**), and higher accuracy (**91% vs. 82%**) in the comparison shown. The paper summarizes this as better memory, time cost, and accuracy.","Donut.pdf, p. 2, Figure 2","Donut outperforms OCR-dependent VDU models in terms of memory usage (91M vs. Not specified in the provided documents), inference time (0.6 sec vs. Not specified in the provided documents), and accuracy (0.8% vs. Not specified in the provided documents)."
D-11,Donut,"Using Figure 3, explain how Donut converts a document image into a structured JSON-like output.","Figure 3 shows the image first entering Donut's Transformer visual encoder, which converts it into embeddings. The textual decoder uses those embeddings to generate a sequence of tokens. That output sequence is then converted into the target structured representation, such as JSON; the figure illustrates this with a receipt/question example.","Donut.pdf, pp. 4–5, Figure 3","Donut converts a document image into a structured JSON-like output through the following process:

1. Visual Encoder: The input document image is first converted into a set of embeddings by the visual encoder. This encoder can be a CNN-based model, Transformer-based model, or in this study, Swin Transformer is used due to its best performance in preliminary studies. Swin Transformer splits the input image into non-overlapping patches, applies Swin Transformer blocks (consisting of a shifted window-based multi-head self-attention module and a two-layer MLP), and patch merging layers at each stage. The output of the final Swin Transformer block is fed into the textual decoder.

2. Textual Decoder: The output of the final Swin Transformer block is fed into the textual decoder. The decoder maps the derived features into a sequence of subword tokens to construct a desired structured format, such as JSON. Each model component is Transformer-based.

3. Output Conversion: The output token sequence is converted to a desired structured format, such as JSON. Special tokens like [START *] and [END *] are added to the sequence, where * indicates each field to extract. If the output token sequence is wrongly structured, the field is treated as lost.

In summary, Donut directly maps an input document image into a desired structured output without relying on any modules related to OCR functionality. The output is in the form of a JSON-like structure."
D-12,Donut,"In Figure 6, what examples demonstrate the strengths and limitations of Donut compared with LayoutLMv2 on DocVQA?","Figure 6 shows that OCR errors can cause LayoutLMv2-based systems to produce incorrect answers: for example, LayoutLMv2-Large-QG outputs an incorrect passenger name and phone number in the shown examples. Donut correctly answers some examples, including the passenger name and phone number, but in the rightmost large-scale image it misses tiny text because of its input-resolution constraint. The paper notes that increasing input resolution can mitigate this limitation.","Donut.pdf, p. 11, Figure 6","In Figure 6, the examples demonstrate the strengths and limitations of Donut compared with LayoutLMv2 on DocVQA as follows:

Strengths of Donut:
1. Donut shows a promising result without OCR, as shown by the high Average Normalized Levenshtein Similarity (ANLS) score on the handwritten documents, which are known to be challenging due to the difficulty of handwriting OCR.
2. Donut shows robust performances, especially in low-resourced situations. It outperformed the LayoutLMv2 accuracy with only 10% of the data, which is only 80 samples, in an extremely low-resourced situation.

Limitations of Donut:
1. OCR errors make a performance upper-bound of the OCR-dependent baselines, such as LayoutLMv2. In the examples provided, Donut incorrectly identified the phone number as 336-723-4100 instead of the correct number 336-723-6100. This error is likely due to OCR errors in the original document.
2. Donut is trained without any supervision for text localization, which may lead to incorrect attention to text regions in some cases. This is evident in the examples where Donut fails to correctly identify the phone number.

Overall, Donut shows promising results in handling handwritten documents and low-resourced situations, but its performance is limited by the quality of the OCR and its ability to accurately localize text in images."
D-13,Donut,"According to Table 3, what are the ANLS scores of Donut on the DocVQA test set and the handwritten subset, and how do they compare with LayoutLMv2?","In Table 3, Donut achieves **67.5 ANLS** on the DocVQA test set and **72.1 ANLS** on the handwritten subset. LayoutLMv2 achieves **78.1 ANLS** on the DocVQA test set; the handwritten-subset value is **not reported (n/a)** for LayoutLMv2. Thus Donut is below LayoutLMv2 on the reported general DocVQA test set but has a reported handwritten score where LayoutLMv2 has no handwritten score in this table.","Donut.pdf, p. 11, Table 3","The ANLS score of Donut on the DocVQA test set is not specified in the provided documents. However, on the handwritten subset, Donut achieves a higher score compared to LayoutLMv2. Specifically, Donut's score is 943, while LayoutLMv2's score is 540."
D-14,Donut,"According to Figure 7, how does increasing the input image resolution affect Donut's performance, particularly on DocVQA?","Figure 7(c) shows that Donut's performance increases rapidly as input image resolution increases. The improvement is particularly clear on DocVQA, whose images contain many tiny texts. However, larger input resolutions increase computational cost, creating a speed/accuracy trade-off.","Donut.pdf, p. 12, Figure 7(c)","Increasing the input image resolution in Donut significantly improves its performance, particularly on DocVQA. The figure shows that as the input size is set larger, Donut's performance grows rapidly, making it clearer in the DocVQA where images are larger with many tiny texts. However, it's important to note that increasing the size for a precise result incurs bigger computational costs."
D-15,Donut,Why does the paper argue that Donut's OCR-free approach can be advantageous for multilingual document understanding and real-world deployment?,"The OCR-free approach is advantageous because it removes dependence on external OCR engines, avoiding their computational, maintenance, language/domain-flexibility, and error-propagation costs. Donut can use synthetic document data for pre-training, making it easier to extend to new languages and domains without retraining separate off-the-shelf OCR systems. The end-to-end design is therefore attractive for multilingual and real-world deployment.","Donut.pdf, pp. 3, 9, 14","The paper argues that Donut's OCR-free approach can be advantageous for multilingual document understanding and real-world deployment due to several reasons. First, it eliminates the need for retraining an off-the-shelf OCR engine for different languages or domain changes, which can be expensive and inflexible. Second, it addresses the issue of OCR error propagation to subsequent processes, which can occur in OCR-based approaches. Lastly, it is cost-effective since it reduces the computational cost for inference compared to high-quality OCR results. (Reference: Donut.pdf, Pages 1, 2, 3)"
L1,LayoutLMv3,"What is the main purpose of LayoutLMv3, and what problem in Document AI pre-training does it aim to address?","LayoutLMv3 aims to pre-train a multimodal Transformer for Document AI while addressing the mismatch between how text and image modalities are pre-trained in existing multimodal models. It uses unified discrete-token reconstruction objectives, MLM and MIM, together with WPA for cross-modal alignment, making the model applicable to both text-centric and image-centric Document AI tasks.","LayoutLMv3.pdf, pp. 1–2","The main purpose of LayoutLMv3 is to introduce a multimodal model in Document AI that does not rely on a pre-trained CNN or Faster R-CNN backbone to extract visual features. This is aimed to significantly save parameters and eliminate complex pre-processing steps, which is vital to Document AI models. The problem it aims to address in Document AI pre-training is the reliance on complex pre-trained CNN or Faster R-CNN backbones for visual feature extraction, which can be resource-intensive and complex."
L2,LayoutLMv3,"What are the three pre-training objectives used by LayoutLMv3, and what does each objective learn?","LayoutLMv3 uses three objectives: (1) Masked Language Modeling (MLM), which masks text tokens and trains the model to reconstruct them; (2) Masked Image Modeling (MIM), which masks image patches and trains the model to reconstruct their discrete visual tokens obtained from a discrete VAE; and (3) Word-Patch Alignment (WPA), which predicts whether the image patch corresponding to a text word is masked, thereby learning fine-grained cross-modal alignment.","LayoutLMv3.pdf, pp. 2–3","The three pre-training objectives used by LayoutLMv3 are:

1. Masked Language Modeling (MLM): This objective learns the language representation by masking 30% of text tokens and predicting them from the context.

2. Masked Image Modeling (MIM): This objective learns the image representation by masking out a portion of input image patches and reconstructing them in the output. This helps in preserving the image information until the last layer of the model.

3. Word-Patch Alignment (WPA): This objective learns cross-modal alignment by predicting whether the corresponding image patch of a text word is masked. This helps in learning the relationship between text and image.

Each objective learns a different aspect of the multimodal representation, either text, image, or the relationship between them."
L3,LayoutLMv3,Why does LayoutLMv3 avoid using a pre-trained CNN or Faster R-CNN backbone for extracting visual features?,"It avoids pre-trained CNN or Faster R-CNN backbones because those approaches introduce a heavy computational/parameter bottleneck or require region supervision. LayoutLMv3 instead uses simple linear patch embeddings, which significantly reduces parameters and removes the need for region annotations and complex visual preprocessing.","LayoutLMv3.pdf, pp. 2–3",LayoutLMv3 avoids using a pre-trained CNN or Faster R-CNN backbone for extracting visual features because it aims to significantly save parameters and eliminate region annotations. This design choice makes the model simpler and easier to reproduce.
L4,LayoutLMv3,How does LayoutLMv3 represent document images before feeding them into the multimodal Transformer?,"The document image is resized to H×W, split into uniform P×P patches, linearly projected into D-dimensional vectors, flattened into a sequence, and given learnable 1D position embeddings. This image-patch sequence is then used as the image input to the multimodal Transformer.","LayoutLMv3.pdf, p. 3","LayoutLMv3 represents document images by resizing them into a specific size, splitting the image into a sequence of uniform patches, linearly projecting the image patches to a certain dimension, and flattening them into a sequence of vectors. This method is inspired by Vision Transformer (ViT) and ViLT. The image patches are then fed into the multimodal Transformer for further processing."
L5,LayoutLMv3,What are the two types of embeddings that make up the text representation in LayoutLMv3?,The text representation consists of word embeddings and position embeddings. The position embeddings include 1D sequence-position embeddings and 2D layout-position embeddings based on the text bounding boxes.,"LayoutLMv3.pdf, p. 3",The text representation in LayoutLMv3 consists of two types of embeddings: word-level spatial embeddings and embeddings of BERT.
L6,LayoutLMv3,How does LayoutLMv3's use of segment-level 2D positions differ from the word-level layout positions used by LayoutLM and LayoutLMv2?,"LayoutLM and LayoutLMv2 assign a separate 2D layout position to each word. LayoutLMv3 instead uses segment-level 2D positions, so words belonging to the same segment share the same layout position because they generally express the same semantic meaning.","LayoutLMv3.pdf, p. 3","LayoutLMv3 uses segment-level 2D positions, while LayoutLM and LayoutLMv2 use word-level layout positions. The use of segment-level positions in LayoutLMv3 means that words in a segment share the same 2D position since the words usually express the same semantic meaning. This change may benefit the semantic entity labeling task on FUNSD, making LayoutLMv3 and the other works using word-level positions not directly comparable."
L7,LayoutLMv3,"According to Figure 3, how are the text tokens and image patches combined before being processed by the multimodal Transformer?","LayoutLMv3 forms a text embedding sequence Y and an image embedding sequence X, then concatenates the two sequences before the multimodal Transformer. The text side contains word/position information, while the image side contains linearly projected image-patch embeddings; the Transformer jointly encodes the combined sequence into contextualized text-and-image representations.","LayoutLMv3.pdf, Figure 3, p. 3","The text tokens and image patches are combined by taking the linear projection of patches and word tokens as inputs and encoding them into contextualized vector representations. The image patches are first resized and split into a sequence of uniform P x P patches, linearly projected to D dimensions, and flattened into a sequence of vectors. The text tokens are embedded using word embedding layers. The resulting sequences of text and image vectors are then fed into the multimodal Transformer for processing."
L8,LayoutLMv3,What is the purpose of the Word-Patch Alignment (WPA) objective in LayoutLMv3?,"WPA learns fine-grained cross-modal alignment by predicting whether the image patch corresponding to a particular text word is masked. Because document words correspond to specific image regions, this objective teaches the model the relationship between textual tokens and their corresponding visual patches.","LayoutLMv3.pdf, pp. 1–3",The purpose of the Word-Patch Alignment (WPA) objective in LayoutLMv3 is to learn a fine-grained alignment between text words and image patches in documents. This objective is proposed to facilitate cross-modal representation learning and improve the performance of both text-centric and image-centric tasks in Document AI.
L9,LayoutLMv3,How does Masked Image Modeling (MIM) in LayoutLMv3 differ from reconstructing raw image pixels?,"Instead of reconstructing raw pixel values, LayoutLMv3's MIM reconstructs discrete image tokens for masked patches. The target tokens come from the latent codes of a discrete VAE, allowing the objective to capture higher-level document layout structure rather than noisy pixel details.","LayoutLMv3.pdf, p. 2",Masked Image Modeling (MIM) in LayoutLMv3 differs from reconstructcting raw image pixels as it preserves the image information until the last layer of the model by randomly masking out a portion of input image patches and reconstructing them in the output. This approach allows the model to learn rich visual representations without directly dealing with raw image pixels.
L10,LayoutLMv3,"According to Figure 2, how does LayoutLMv3's image embedding approach differ from the CNN/grid and region-feature approaches used by models such as DocFormer and SelfDoc?","LayoutLMv3 replaces CNN grid features and Faster R-CNN/region features with simple linear embeddings of raw image patches. CNN/grid approaches such as DocFormer use CNN-derived grid features, while region-based approaches such as SelfDoc use object/region features; LayoutLMv3 directly splits the image into patches, linearly projects them, and feeds them into the multimodal Transformer. This reduces computational cost and eliminates the need for region supervision.","LayoutLMv3.pdf, Figure 2, p. 2","LayoutLMv3's image embedding approach differs from the CNN/grid and region-feature approaches used by models such as DocFormer and SelfDoc in that it learns visual models from scratch via natural language supervision and does not densely connect the two domains with a joint attention model. The only interaction in a LayoutLMv3 model between the image and text domain is a single dot product in a learned joint embedding space. In contrast, models like DocFormer and SelfDoc use convolutional neural networks (CNN) to extract grid or region features from images, and these features are then used in conjunction with text features for downstream tasks."
