question_id,n_candidates,recall@1,recall@5,recall@8,recall@10,precision@1,precision@5,precision@8,precision@10,rr
CLIP-06,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903
CLIP-07,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
CLIP-08,45,0.0,1.0,1.0,1.0,0.0,0.6,0.375,0.3,0.5
CLIP-09,43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1
CLIP-10,41,0.0,1.0,1.0,1.0,0.0,0.4,0.25,0.2,0.5
CLIP-11,44,1.0,1.0,1.0,1.0,1.0,0.6,0.375,0.3,1.0
CLIP-12,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
CLIP-13,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1111111111111111
CLIP-14,42,1.0,1.0,1.0,1.0,1.0,0.6,0.375,0.4,1.0
CLIP-15,41,1.0,1.0,1.0,1.0,1.0,0.2,0.125,0.2,1.0
RAG-01,28,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.3,0.5
RAG-02,28,1.0,1.0,1.0,1.0,1.0,0.6,0.625,0.6,1.0
RAG-03,35,0.0,1.0,1.0,1.0,0.0,0.2,0.25,0.3,0.5
RAG-04,38,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.6,1.0
RAG-05,49,1.0,1.0,1.0,1.0,1.0,0.2,0.125,0.1,1.0
RAG-06,34,0.0,1.0,1.0,1.0,0.0,0.2,0.125,0.1,0.5
RAG-07,35,0.0,1.0,1.0,1.0,0.0,0.6,0.5,0.5,0.5
RAG-08,42,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.3,0.5
RAG-09,38,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.6,1.0
RAG-10,43,0.0,1.0,1.0,1.0,0.0,0.4,0.375,0.4,0.3333333333333333
RAG-11,36,1.0,1.0,1.0,1.0,1.0,0.6,0.625,0.6,1.0
RAG-12,38,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.2,1.0
BERT-01,31,1.0,1.0,1.0,1.0,1.0,0.8,0.875,0.9,1.0
BERT-02,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BERT-03,35,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.9,1.0
BERT-04,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
BERT-05,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BERT-06,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BERT-07,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BERT-08,38,1.0,1.0,1.0,1.0,1.0,0.8,0.875,0.9,1.0
BERT-09,41,1.0,1.0,1.0,1.0,1.0,0.8,0.875,0.9,1.0
BERT-10,47,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.8,1.0
BERT-11,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
BERT-12,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NLP-Q1,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q2,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q4,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q5,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q6,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q7,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q8,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q9,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q10,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q11,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLP-Q12,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q1,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q2,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q3,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q4,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q5,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q6,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q7,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q8,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q9,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q10,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q11,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN-Q12,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
